Id,Symbol,Name,Atomic Weight,Valence
#101,H,Hydrogen,1.008_g/mol,1
#102,He,Helium,4.0026_g/mol,0
#103,Li,Lithium,6.94_g/mol,1
#104,Be,Beryllium,9.0122_g/mol,2
#105,B,Boron,10.81_g/mol,3
#106,C,Carbon,12.011_g/mol,4
#107,N,Nitrogen,14.007_g/mol,3
#108,O,Oxygen,15.999_g/mol,2
#109,F,Fluorine,18.998_g/mol,1
#110,Ne,Neon,20.180_g/mol,0
#111,Na,Sodium,22.990_g/mol,1
#112,Mg,Magnesium,24.305_g/mol,2
#113,Al,Aluminum,26.982_g/mol,3
#114,Si,Silicon,28.085_g/mol,4
#115,P,Phosphorus,30.974_g/mol,5
#116,S,Sulfur,32.06_g/mol,0;2;4;6
#117,Cl,Chlorine,35.45_g/mol,1
#118,Ar,Argon,39.948_g/mol,0
#119,K,Potassium,39.098_g/mol,1
#120,Ca,Calcium,40.078_g/mol,2
#121,Sc,Scandium,44.955_g/mol,3
#122,Ti,Titanium,47.867_g/mol,4
#123,V,Vanadium,50.942_g/mol,5
#124,Cr,Chromium,51.996_g/mol,6
#125,Mn,Manganese,54.938_g/mol,7
#126,Fe,Iron,55.845_g/mol,2
#127,Co,Cobalt,58.933_g/mol,2
#128,Ni,Nickel,58.693_g/mol,2
#129,Cu,Copper,63.546_g/mol,2
#130,Zn,Zinc,65.38_g/mol,2
#131,Ga,Gallium,69.723_g/mol,3
#132,Ge,Germanium,72.63_g/mol,4
#133,As,Arsenic,74.922_g/mol,5
#134,Se,Selenium,78.971_g/mol,6
#135,Br,Bromine,79.904_g/mol,1
#136,Kr,Krypton,83.798_g/mol,0
#137,Rb,Rubidium,85.468_g/mol,1
#138,Sr,Strontium,87.62_g/mol,2
#139,Y,Yttrium,88.906_g/mol,3
#140,Zr,Zirconium,91.224_g/mol,4
#141,Nb,Niobium,92.906_g/mol,5
#142,Mo,Molybdenum,95.95_g/mol,6
#143,Tc,Technetium,98_g/mol,7
#144,Ru,Ruthenium,101.07_g/mol,8
#145,Rh,Rhodium,102.91_g/mol,3
#146,Pd,Palladium,106.42_g/mol,2
#147,Ag,Silver,107.87_g/mol,1
#148,Cd,Cadmium,112.41_g/mol,2
#149,In,Indium,114.82_g/mol,3
#150,Sn,Tin,118.71_g/mol,4
#151,Sb,Antimony,121.76_g/mol,5
#152,Te,Tellurium,127.60_g/mol,6
#153,I,Iodine,126.90_g/mol,1
#154,Xe,Xenon,131.29_g/mol,0
#155,Cs,Cesium,132.91_g/mol,1
#156,Ba,Barium,137.33_g/mol,2
#157,La,Lanthanum,138.91_g/mol,3
#158,Ce,Cerium,140.12_g/mol,4
#159,Pr,Praseodymium,140.91_g/mol,3
#160,Nd,Neodymium,144.24_g/mol,3
#161,Pm,Promethium,145_g/mol,3
#162,Sm,Samarium,150.36_g/mol,3
#163,Eu,Europium,151.96_g/mol,3
#164,Gd,Gadolinium,157.25_g/mol,3
#165,Tb,Terbium,158.93_g/mol,3
#166,Dy,Dysprosium,162.50_g/mol,3
#167,Ho,Holmium,164.93_g/mol,3
#168,Er,Erbium,167.26_g/mol,3
#169,Tm,Thulium,168.93_g/mol,3
#170,Yb,Ytterbium,173.05_g/mol,3
#171,Lu,Lutetium,174.97_g/mol,3
#172,Hf,Hafnium,178.49_g/mol,4
#173,Ta,Tantalum,180.95_g/mol,5
#174,W,Tungsten,183.84_g/mol,6
#175,Re,Rhenium,186.21_g/mol,7
#176,Os,Osmium,190.23_g/mol,8
#177,Ir,Iridium,192.22_g/mol,3
#178,Pt,Platinum,195.08_g/mol,2
#179,Au,Gold,196.97_g/mol,1
#180,Hg,Mercury,200.59_g/mol,2
#181,Tl,Thallium,204.38_g/mol,3
#182,Pb,Lead,207.2_g/mol,4
#183,Bi,Bismuth,208.98_g/mol,5
#184,Po,Polonium,209_g/mol,6
#185,At,Astatine,210_g/mol,7
#186,Rn,Radon,222_g/mol,0
#187,Fr,Francium,223_g/mol,1
#188,Ra,Radium,226_g/mol,2
#189,Ac,Actinium,227_g/mol,3
#190,Th,Thorium,232.04_g/mol,4
#191,Pa,Protactinium,231.04_g/mol,5
#192,U,Uranium,238.03_g/mol,6
#193,Np,Neptunium,237_g/mol,7
#194,Pu,Plutonium,244_g/mol,8
#195,Am,Americium,243_g/mol,8
#196,Cm,Curium,247_g/mol,8
#197,Bk,Berkelium,247_g/mol,8
#198,Cf,Californium,251_g/mol,8
#199,Es,Einsteinium,252_g/mol,8
#200,Fm,Fermium,257_g/mol,8
#201,Md,Mendelevium,258_g/mol,8
#202,No,Nobelium,259_g/mol,8
#203,Lr,Lawrencium,262_g/mol,3
#204,Rf,Rutherfordium,267_g/mol,4
#205,Db,Dubnium,270_g/mol,5
#206,Sg,Seaborgium,271_g/mol,6
#207,Bh,Bohrium,270_g/mol,7
#208,Hs,Hassium,277_g/mol,8
#209,Mt,Meitnerium,278_g/mol,9
#210,Ds,Darmstadtium,281_g/mol,8
#211,Rg,Roentgenium,282_g/mol,1
#212,Cn,Copernicium,285_g/mol,2
#213,Nh,Nihonium,286_g/mol,1
#214,Fl,Flerovium,289_g/mol,2
#215,Mc,Moscovium,290_g/mol,1
#216,Lv,Livermorium,293_g/mol,2
#217,Ts,Tennessine,294_g/mol,7
#218,Og,Oganesson,294_g/mol,0
