370486772
Li,Lithium,Lithium,1,6.941,no
Na,Sodium,Sodium,1,22.99,no
K,Potassium,Potassium,1,39.098,no
Mg,Magnesium,Magnesium,2,24.305,no
Ca,Calcium,Calcium,2,40.078,no
Ba,Barium,Barium,2,137.328,no
Ti,Titanium,Titanium,2 3 4,47.88,no
V,Vanadium,Vanadium,3 4 5,50.942,no
Cr,Chromium,Chromium,2 3 4 6,51.996,no
Mn,Manganese,Manganese,2 3 4 6 7,54.938,no
Fe,Iron,Iron,2 3,55.845,no
Os,Osmium,Osmium,4 8,190.23,no
Co,Cobalt,Cobalt,2 3,58.933,no
Rh,Rhodium,Rhodium,3 4,102.91,no
Ir,Iridium,Iridium,2 3,192.22,no
Ni,Nickel,Nickel,2 3,58.693,no
Pd,Palladium,Palladium,2,106.42,no
Pt,Platinum,Platinum,2 4,195.084,no
Cu,Copper,Copper,1 2,63.546,no
Ag,Silver,Silver,1 2,107.87,no
Au,Gold,Gold,3,196.97,no
Zn,Zinc,Zinc,1 2,65.38,no
Hg,Mercury,Mercury,1 2,200.59,no
B,Boron,Boron,1 2,10.81,no
Al,Aluminium,Aluminium,3,26.982,no
C,Carbon,Carbide,-4 4,12.011,no
Si,Silicon,Silicide,-4 4,28.085,no
Sn,Tin,Tin,2 4,118.71,no
Pb,Lead,Lead,2 4,207.2,no
N,Nitrogen,Nitride,3,14.007,no
P,Phosphorus,Phosphide,-1 1 3 5,30.974,no
O,Oxygen,Oxide,-2 2,15.999,no
S,Sulfur,Sulfide,-2 2 4 6,32.06,no
Se,Selenium,Selenide,-2 2 4 6,78.971,no
F,Fluorine,Fluoride,-1 1,18.998,no
Cl,Chlorine,Chloride,-1 1,35.45,no
Br,Bromine,Bromide,-1 1,79.904,no
I,Iodine,Iodide,-1 1,126.9,no
H,Hydrogen,Hydride,-1 1,1.008,no
CO3,Carbonate,Carbonate,-2,60.008,yes
HCO3,Bicarbonate,Bicarbonate,-1,61.017,yes
SO4,Sulfate,Sulfate,-2,96.06,yes
HSO4,Bisulfate,Bisulfate,-1,97.068,yes
HS,Hydrogen Sulfide,Hydrogen Sulfide,-1,33.068,yes
SO3,Sulfite,Sulfite,-2,80.057,yes
HSO3,Hydrogen Sulfite,Hydrogen Sulfite,-1,81.065,yes
S2O3,Thiosulfate,Thiosulfate,-2,112.13,yes
HS2O3,Hydrogen Thiosulfate,Hydrogen Thiosulfate,-1,113.138,yes
PO4,Phosphate,Phosphate,-3,94.971,yes
HPO4,Hydrogen Phosphate,Hydrogen Phosphate,-2,95.979,yes
H2PO4,Dihydrogen Phosphate,Dihydrogen Phosphate,-1,96.987,yes
NO3,Nitrate,Nitrate,-1,62.004,yes
NO2,Nitrite,Nitrite,-1,46.005,yes
N3,Azide,Azide,-1,42.021,yes
CrO4,Chromate,Chromate,-2,115.994,yes
Cr2O7,Dichromate,Dichromate,-2,215.988,yes
MnO4,Permanganate,Permanganate,-2,118.934,yes
O2,Peroxide,Peroxide,-2,31.998,yes
OH,Hydroxide,Hydroxide,-1,17.007,yes
OCl,Hypochlorite,Hypochlorite,-1,51.449,yes
OBr,Hypobromite,Hypobromite,-1,95.903,yes
OI,Hypoiodite,Hypoiodite,-1,142.899,yes
CN,Cyanide,Cyanide,-1,26.018,yes
OCN,Cyanate,Cyanate,-1,42.017,yes
SCN,Thiocyanate,Thiocyanate,-1,58.078,yes
